Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
MCP1151008J,180054939,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",LOOKED BUT DID NOT SEE,40,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP13970005,15000489,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"SMOG, SMOKE, WET",NOT DISTRACTED,45,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No Information
MCP2968002Z,190019026,Injury Crash,BICYCLIST,No Information,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,LIGHT CLOTHING,No
DD56060050,190005833,Injury Crash,PEDESTRIAN,UNKNOWN,ALCOHOL PRESENT,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,Unknown
MCP3084002Y,190006658,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"SLEET, HAIL, FREEZ. RAIN, WET",LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
DD56140022,17006536,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2959000W,15035001,Injury Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT,Unknown,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,FAILURE TO YIELD RIGHT OF WAY,OTHER,NO PED. SIGNAL,MIXED CLOTHING,Unknown
MCP2351001D,170533176,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
MCP30790021,190007453,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,30,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,LIGHT CLOTHING,No
MCP2866003Z,170525191,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,BICYCLIST,Walking/Riding against Traffic,WRONG WAY RIDING OR WALKING,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,Yes
MCP2975000W,15061429,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,25,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP3086000W,170548544,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP2348000M,15003441,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,40,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,No Information,No Information,No Information
MCP2472001G,15049116,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Other,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No
MCP27540018,170505519,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",Yes,NO APPARENT INJURY,No Information,UNKNOWN,10,PEDESTRIAN,Walking/Cycling on Sidewalk,No Information,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP27540018,170505519,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",Yes,NO APPARENT INJURY,No Information,UNKNOWN,10,PEDESTRIAN,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,No Information,LIGHT CLOTHING,No
EJ78370016,16055702,Injury Crash,PEDESTRIAN,No Information,No Information,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY NOT AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
MCP2357000V,15015825,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Standing,No Information,OTHER,No Information,MIXED CLOTHING,No Information
MCP2177001W,170512885,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,40,BICYCLIST,No Information,NO IMPROPER ACTIONS,IN BIKEWAY,No Information,MIXED CLOTHING,No
MCP2708003C,180025911,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Standing,INATTENTIVE,OTHER,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2388000L,15061167,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"N/A, WET",OTHER DISTRACTION,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,No Information,No
MCP1301000J,16006794,Injury Crash,PEDESTRIAN,NONE DETECTED,UNKNOWN,Unknown,NO APPARENT INJURY,No Information,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,40,PEDESTRIAN,Unknown,DISABLED VEHICLE RELATED,SHOULDER,NO PED. SIGNAL,REFLECTIVE MATERIAL,Unknown
MCP26080012,15043981,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP26080012,15043981,Injury Crash,PEDESTRIAN,NONE DETECTED,"N/A, NONE DETECTED",No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP2686001P,17003354,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,DARK CLOTHING,No
MCP3148000H,180048687,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,20,PEDESTRIAN,Standing,ENTERING EXITING PARKED STANDING VEHICLE,OTHER,No Information,DARK CLOTHING,No
MCP2905003G,170544293,Injury Crash,OTHER,No Information,UNKNOWN,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,OTHER,Other Working,NOT VISIBLE,OTHER,No Information,UNKNOWN,Unknown
MCP2016001C,16052613,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,10,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,No Information,OTHER,MIXED CLOTHING,No
MCP2766001Q,15044823,Injury Crash,BICYCLIST,NONE DETECTED,ALCOHOL PRESENT,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,BICYCLIST,Walking/Cycling on Sidewalk,INATTENTIVE,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,Yes
MCP9366000N,16055445,Injury Crash,PEDESTRIAN,ALCOHOL PRESENT,NONE DETECTED,Yes,SUSPECTED MINOR INJURY,No Information,TALKING OR LISTENING TO CELLULAR PHONE,45,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,CURB,No Information,DARK CLOTHING,No
MCP1309001Z,180047555,Property Damage Crash,OTHER,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,35,OTHER,No Information,NO IMPROPER ACTIONS,OTHER,No Information,No Information,No
MCP3181000F,190021974,Injury Crash,PEDESTRIAN,UNKNOWN,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
EJ7860001W,190001856,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,25,PEDESTRIAN,Cross/Enter not at Intersection,FAILURE TO YIELD RIGHT OF WAY,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP2348004R,190005965,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
EJ7853001Q,16011574,Injury Crash,PEDESTRIAN,NONE DETECTED,ALCOHOL PRESENT,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,45,PEDESTRIAN,Other,OTHER,CURB,OTHER,DARK CLOTHING,Yes
MCP27170030,15048327,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,SIDEWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP28710034,16031610,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,15,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,No Information,No Information,No
MCP242500BD,170537705,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Walking/Cycling on Sidewalk,DART DASH,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
DD5623000C,170529119,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,No Information,DARK CLOTHING,No
MCP3011000Y,16038625,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"RAIN, SNOW, VISION OBSTRUCTION (INCL. BLINDED BY SUN), WET",LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Cross/Enter at Intersection,IN ROADWAY IMPROPERLY,AT INTERSECTION BUT NO CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,No
MCP29710020,16061109,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Unknown,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,10,PEDESTRIAN,Cross/Enter not at Intersection,INATTENTIVE,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,DARK CLOTHING,Unknown
MCP23980011,16067106,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,"N/A, RAIN, SNOW",NOT DISTRACTED,30,PEDESTRIAN,Cross/Enter at Intersection,INATTENTIVE,ON ROADWAY AT CROSSWALK,DISOBEYED PED. SIGNAL,DARK CLOTHING,Yes
